OBJECTID,X,Y
384,276550.9844,3326673.735
385,276630.9844,3326673.735
386,276710.9844,3326673.735
387,276790.9844,3326673.735
388,276870.9844,3326673.735
389,276950.9844,3326673.735
390,277030.9844,3326673.735
391,277110.9844,3326673.735
392,277190.9844,3326673.735
393,277270.9844,3326673.735
394,277350.9844,3326673.735
395,277430.9844,3326673.735
396,277510.9844,3326673.735
397,277590.9844,3326673.735
398,277670.9844,3326673.735
399,277750.9844,3326673.735
400,277830.9844,3326673.735
401,277910.9844,3326673.735
402,277990.9844,3326673.735
403,278070.9844,3326673.735
404,278150.9844,3326673.735
405,278230.9844,3326673.735
406,278310.9844,3326673.735
407,278390.9844,3326673.735
408,278470.9844,3326673.735
409,278550.9844,3326673.735
410,275990.9844,3326753.735
411,276070.9844,3326753.735
412,276150.9844,3326753.735
413,276230.9844,3326753.735
414,276310.9844,3326753.735
415,276390.9844,3326753.735
416,276470.9844,3326753.735
417,276550.9844,3326753.735
418,276630.9844,3326753.735
419,276710.9844,3326753.735
420,276790.9844,3326753.735
421,276870.9844,3326753.735
422,276950.9844,3326753.735
423,277030.9844,3326753.735
424,277110.9844,3326753.735
425,277190.9844,3326753.735
426,277270.9844,3326753.735
427,277350.9844,3326753.735
428,277430.9844,3326753.735
429,277510.9844,3326753.735
430,277590.9844,3326753.735
431,277670.9844,3326753.735
432,277750.9844,3326753.735
433,277830.9844,3326753.735
434,277910.9844,3326753.735
435,277990.9844,3326753.735
436,278070.9844,3326753.735
437,278150.9844,3326753.735
438,278230.9844,3326753.735
439,278310.9844,3326753.735
440,278390.9844,3326753.735
441,275910.9844,3326833.735
442,275990.9844,3326833.735
443,276070.9844,3326833.735
444,276150.9844,3326833.735
445,276230.9844,3326833.735
446,276310.9844,3326833.735
447,276390.9844,3326833.735
448,276470.9844,3326833.735
449,276550.9844,3326833.735
450,276630.9844,3326833.735
451,276710.9844,3326833.735
452,276790.9844,3326833.735
453,276870.9844,3326833.735
454,276950.9844,3326833.735
455,277030.9844,3326833.735
456,277110.9844,3326833.735
457,277190.9844,3326833.735
458,277270.9844,3326833.735
459,277350.9844,3326833.735
460,277430.9844,3326833.735
461,277510.9844,3326833.735
462,277590.9844,3326833.735
463,277670.9844,3326833.735
464,277750.9844,3326833.735
465,277830.9844,3326833.735
466,277910.9844,3326833.735
467,277990.9844,3326833.735
468,278070.9844,3326833.735
469,278150.9844,3326833.735
470,278230.9844,3326833.735
471,278310.9844,3326833.735
472,275830.9844,3326913.735
473,275910.9844,3326913.735
474,275990.9844,3326913.735
475,276070.9844,3326913.735
476,276150.9844,3326913.735
477,276230.9844,3326913.735
478,276310.9844,3326913.735
479,276390.9844,3326913.735
480,276470.9844,3326913.735
481,276550.9844,3326913.735
482,276630.9844,3326913.735
483,276710.9844,3326913.735
484,276790.9844,3326913.735
485,276870.9844,3326913.735
486,276950.9844,3326913.735
487,277030.9844,3326913.735
488,277110.9844,3326913.735
489,277190.9844,3326913.735
490,277270.9844,3326913.735
491,277350.9844,3326913.735
492,277430.9844,3326913.735
493,277510.9844,3326913.735
494,277590.9844,3326913.735
495,277670.9844,3326913.735
496,277750.9844,3326913.735
497,277830.9844,3326913.735
498,277910.9844,3326913.735
499,277990.9844,3326913.735
500,278070.9844,3326913.735
501,278150.9844,3326913.735
502,275750.9844,3326993.735
503,275830.9844,3326993.735
504,275910.9844,3326993.735
505,275990.9844,3326993.735
506,276070.9844,3326993.735
507,276150.9844,3326993.735
