OBJECTID,X,Y
34324,221510.9844,3310513.735
34325,221590.9844,3310513.735
34326,221670.9844,3310513.735
34327,221750.9844,3310513.735
34328,221830.9844,3310513.735
34329,221910.9844,3310513.735
34330,221990.9844,3310513.735
34331,222070.9844,3310513.735
34332,222150.9844,3310513.735
34333,222230.9844,3310513.735
34334,222310.9844,3310513.735
34335,222390.9844,3310513.735
34336,222470.9844,3310513.735
34337,222550.9844,3310513.735
34338,222630.9844,3310513.735
34339,222710.9844,3310513.735
34340,222790.9844,3310513.735
34341,222870.9844,3310513.735
34342,222950.9844,3310513.735
34343,223030.9844,3310513.735
34344,219750.9844,3310593.735
34345,219830.9844,3310593.735
34346,219910.9844,3310593.735
34347,219990.9844,3310593.735
34348,220070.9844,3310593.735
34349,220150.9844,3310593.735
34350,220230.9844,3310593.735
34351,220310.9844,3310593.735
34352,220390.9844,3310593.735
34353,220470.9844,3310593.735
34354,220550.9844,3310593.735
34355,220630.9844,3310593.735
34356,220710.9844,3310593.735
34357,220790.9844,3310593.735
34358,220870.9844,3310593.735
34359,220950.9844,3310593.735
34360,221030.9844,3310593.735
34361,221110.9844,3310593.735
34362,221190.9844,3310593.735
34363,221270.9844,3310593.735
34364,221350.9844,3310593.735
34365,221430.9844,3310593.735
34366,221510.9844,3310593.735
34367,221590.9844,3310593.735
34368,221670.9844,3310593.735
34369,221750.9844,3310593.735
34370,221830.9844,3310593.735
34371,221910.9844,3310593.735
34372,221990.9844,3310593.735
34373,222070.9844,3310593.735
34374,222150.9844,3310593.735
34375,222230.9844,3310593.735
34376,222310.9844,3310593.735
34377,222390.9844,3310593.735
34378,222470.9844,3310593.735
34379,222550.9844,3310593.735
34380,222630.9844,3310593.735
34381,222710.9844,3310593.735
34382,222790.9844,3310593.735
34383,222870.9844,3310593.735
34384,222950.9844,3310593.735
34385,223030.9844,3310593.735
34386,223110.9844,3310593.735
34387,219750.9844,3310673.735
34388,219830.9844,3310673.735
34389,219910.9844,3310673.735
34390,219990.9844,3310673.735
34391,220070.9844,3310673.735
34392,220150.9844,3310673.735
34393,220230.9844,3310673.735
34394,220310.9844,3310673.735
34395,220390.9844,3310673.735
34396,220470.9844,3310673.735
34397,220550.9844,3310673.735
34398,220630.9844,3310673.735
34399,220710.9844,3310673.735
34400,220790.9844,3310673.735
34401,220870.9844,3310673.735
34402,220950.9844,3310673.735
34403,221030.9844,3310673.735
34404,221110.9844,3310673.735
34405,221190.9844,3310673.735
34406,221270.9844,3310673.735
34407,221350.9844,3310673.735
34408,221430.9844,3310673.735
34409,221510.9844,3310673.735
34410,221590.9844,3310673.735
34411,221670.9844,3310673.735
34412,221750.9844,3310673.735
34413,221830.9844,3310673.735
34414,221910.9844,3310673.735
34415,221990.9844,3310673.735
34416,222070.9844,3310673.735
34417,222150.9844,3310673.735
34418,222230.9844,3310673.735
34419,222310.9844,3310673.735
34420,222390.9844,3310673.735
34421,222470.9844,3310673.735
34422,222550.9844,3310673.735
34423,222630.9844,3310673.735
34424,222710.9844,3310673.735
34425,222790.9844,3310673.735
34426,222870.9844,3310673.735
34427,222950.9844,3310673.735
34428,223030.9844,3310673.735
34429,223110.9844,3310673.735
34430,223190.9844,3310673.735
34431,219670.9844,3310753.735
34432,219750.9844,3310753.735
34433,219830.9844,3310753.735
34434,219910.9844,3310753.735
34435,219990.9844,3310753.735
34436,220070.9844,3310753.735
34437,220150.9844,3310753.735
34438,220230.9844,3310753.735
34439,220310.9844,3310753.735
34440,220390.9844,3310753.735
34441,220470.9844,3310753.735
34442,220550.9844,3310753.735
34443,220630.9844,3310753.735
34444,220710.9844,3310753.735
34445,220790.9844,3310753.735
34446,220870.9844,3310753.735
34447,220950.9844,3310753.735
34448,221030.9844,3310753.735
34449,221110.9844,3310753.735
34450,221190.9844,3310753.735
34451,221270.9844,3310753.735
34452,221350.9844,3310753.735
34453,221430.9844,3310753.735
34454,221510.9844,3310753.735
34455,221590.9844,3310753.735
34456,221670.9844,3310753.735
34457,221750.9844,3310753.735
34458,221830.9844,3310753.735
34459,221910.9844,3310753.735
34460,221990.9844,3310753.735
34461,222070.9844,3310753.735
34462,222150.9844,3310753.735
34463,222230.9844,3310753.735
34464,222310.9844,3310753.735
